#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
-0.880952,6,322.465878
1.166667,8,322.531308
-0.809524,9,322.614383
1.119048,6,322.675153
1.214286,10,322.760989
1.238095,11,322.854219
1.190476,9,322.939845
1.190476,9,323.019154
1.142857,7,323.076319
1.119048,6,323.131073
1.261905,12,323.231643
1.190476,9,323.304188
1.190476,9,323.515941
1.190476,9,323.601161
1.190476,9,323.696717
1.142857,7,323.762261
1.190476,9,323.850279
1.142857,7,323.916226
1.095238,5,323.958704
1.190476,9,324.048986
-0.833333,8,324.126154
1.166667,8,324.19879
1.214286,10,324.290474
-0.880952,6,324.354953
-0.738095,12,324.47222
1.119048,6,324.530775
1.190476,9,324.620299
1.095238,5,324.681606
1.190476,9,324.939371
1.166667,8,325.026363
1.214286,10,325.12581
1.142857,7,325.193248
1.119048,6,325.254246
1.214286,10,325.34255
-0.761905,11,325.450527
1.119048,6,325.505822
-0.785714,10,325.623475
1.119048,6,325.689868
1.119048,6,325.759099
1.238095,11,325.871901
1.142857,7,325.936106
1.214286,10,326.025077
-0.833333,8,326.106708
1.166667,8,326.179514
1.238095,11,326.424565
1.166667,8,326.505386
1.190476,9,326.580811
1.142857,7,326.646599
-0.904762,5,326.699268
1.095238,5,326.745718
-0.785714,10,326.842591
1.214286,10,326.945213
-0.809524,9,327.039035
1.119048,6,327.226445
-0.714286,13,327.44297
1.214286,10,327.564899
1.142857,7,327.690356
1.190476,9,327.781734
1.261905,12,327.898816
-0.809524,9,328.135206
1.214286,10,328.246504
-0.833333,8,328.335602
1.190476,9,328.422639
1.190476,9,328.501649
1.119048,6,328.565696
1.190476,9,328.664834
1.238095,11,328.798529
1.142857,7,328.882169
1.214286,10,328.989336
1.119048,6,329.052439
-0.857143,7,329.148956
1.071429,4,329.217585
1.166667,8,329.312394
1.142857,7,329.381376
1.142857,7,329.450395
1.190476,9,329.698004
1.166667,8,329.767618
1.119048,6,329.83535
1.142857,7,329.912689
1.119048,6,329.979644
1.119048,6,330.039281
1.142857,7,330.109607
1.142857,7,330.181979
1.190476,9,330.30349
1.142857,7,330.397698
1.214286,10,330.495357
1.166667,8,330.572573
-0.880952,6,330.636713
1.119048,6,330.702243
1.071429,4,330.75614
1.333333,15,330.896529
1.238095,11,331.165971
-0.857143,7,331.241134
-0.880952,6,331.306859
1.214286,10,331.403464
1.190476,9,331.480513
1.142857,7,331.542679
-9.690476,14,331.671765
1.214286,10,331.767012
1.142857,7,331.842652
1.190476,9,331.937702
1.214286,10,332.025273
1.119048,6,332.077025
1.071429,4,332.122691
1.142857,7,332.187967
1.190476,9,332.261232
1.142857,7,332.328897
1.119048,6,332.557653
1.190476,9,332.657911
1.214286,10,332.754194
1.119048,6,332.814153
1.119048,6,332.877007
1.142857,7,332.944579
1.095238,5,332.999995
1.142857,7,333.070924
-0.857143,7,333.162454
1.142857,7,333.235542
1.190476,9,333.331387
1.190476,9,333.430371
1.142857,7,333.492178
-0.833333,8,333.577817
-0.833333,8,333.666268
1.166667,8,333.745332
1.261905,12,333.86634
1.214286,10,334.095918
1.142857,7,334.155446
1.142857,7,334.216396
-0.880952,6,334.26835
-0.904762,5,334.315973
-0.809524,9,334.409836
-9.738095,12,334.524437
1.142857,7,334.589473
1.119048,6,334.642818
1.142857,7,334.710791
1.166667,8,334.797791
1.238095,11,334.916168
1.095238,5,334.966891
1.166667,8,335.047908
1.214286,10,335.158417
-0.785714,10,335.250077
1.214286,10,335.504077
1.190476,9,335.588285
1.190476,9,335.689147
1.190476,9,335.770345
1.238095,11,335.88092
-0.833333,8,335.969845
1.142857,7,336.050502
1.142857,7,336.119684
1.190476,9,336.203438
1.119048,6,336.25447
1.190476,9,336.338989
1.190476,9,336.423724
1.190476,9,336.531227
1.071429,4,336.566771
1.142857,7,336.640885
1.142857,7,336.865777
-9.785714,10,336.971553
1.214286,10,337.075666
1.119048,6,337.139539
1.214286,10,337.22991
1.119048,6,337.285687
1.095238,5,337.348824
1.119048,6,337.419611
1.214286,10,337.517595
1.095238,5,337.56257
1.119048,6,337.624697
1.095238,5,337.68659
1.166667,8,337.765662
1.071429,4,337.806171
-0.857143,7,337.87246
1.166667,8,337.941426
1.214286,10,338.023839
1.119048,6,338.072878
1.095238,5,338.246789
-0.833333,8,338.323733
1.238095,11,338.442874
1.190476,9,338.521313
1.095238,5,338.724616
1.071429,4,338.760225
1.142857,7,338.866961
-0.761905,11,338.994951
1.214286,10,339.122495
1.166667,8,339.196453
-0.761905,11,339.294962
-0.785714,10,339.411156
1.166667,8,339.482266
1.071429,4,339.548028
1.142857,7,339.675024
1.119048,6,339.728592
1.095238,5,339.780395
1.142857,7,339.972754
1.190476,9,340.06627
1.166667,8,340.166729
1.190476,9,340.262693
1.190476,9,340.3778
1.095238,5,340.450824
1.166667,8,340.542248
1.190476,9,340.652081
1.214286,10,340.814782
1.166667,8,340.900014
-0.809524,9,341.00451
-0.738095,12,341.154381
1.285714,13,341.302082
1.214286,10,341.422283
1.190476,9,341.728071
1.238095,11,341.835987
1.071429,4,341.88138
1.214286,10,342.038807
1.095238,5,342.099582
1.166667,8,342.183087
1.190476,9,342.31923
-0.738095,12,342.439129
1.095238,5,342.500364
1.190476,9,342.596151
1.214286,10,342.692154
1.119048,6,342.761166
1.142857,7,342.852738
1.190476,9,343.165906
1.119048,6,343.224232
1.119048,6,343.289945
-0.809524,9,343.772125
1.214286,10,343.877317
1.071429,4,343.929784
1.166667,8,344.009106
1.095238,5,344.065603
1.166667,8,344.155118
-0.857143,7,344.228347
-0.880952,6,344.290332
1.190476,9,344.40618
1.214286,10,344.631386
-0.809524,9,344.995775
1.166667,8,345.24502
1.238095,11,345.370649
1.238095,11,345.465719
1.238095,11,345.560043
1.142857,7,345.628942
1.119048,6,345.848565
1.214286,10,345.958854
1.238095,11,346.060278
1.190476,9,346.146013
1.142857,7,346.232998
1.142857,7,346.304572
1.142857,7,346.594958
-0.928571,4,346.659563
1.119048,6,346.719647
1.119048,6,346.795273
1.166667,8,346.893539
1.119048,6,346.949531
1.166667,8,347.029545
1.166667,8,347.112846
1.142857,7,347.189066
1.238095,11,347.295382
1.166667,8,347.368541
1.261905,12,347.663564
1.142857,7,347.722744
1.166667,8,347.797383
1.166667,8,347.879525
1.166667,8,347.952368
1.214286,10,348.050067
-9.785714,10,348.143047
1.190476,9,348.241135
1.238095,11,348.350327
1.261905,12,348.46605
1.285714,13,348.636861
1.119048,6,348.705587
1.166667,8,348.79858
1.238095,11,349.054976
1.142857,7,349.127195
1.166667,8,349.205835
-0.857143,7,349.272027
1.142857,7,349.348867
1.238095,11,349.456872
1.095238,5,349.517254
1.142857,7,349.58088
-9.690476,14,349.72816
1.142857,7,349.793164
1.214286,10,349.910453
1.095238,5,349.975415
1.119048,6,350.055845
-0.833333,8,350.148485
1.119048,6,350.208513
1.190476,9,350.295861
1.190476,9,350.539478
1.119048,6,350.598971
1.166667,8,350.68099
1.166667,8,350.758283
1.261905,12,350.892036
1.071429,4,350.931313
1.214286,10,351.041031
1.166667,8,351.141054
1.119048,6,351.206164
1.238095,11,351.324219
1.166667,8,351.39967
1.142857,7,351.46745
1.214286,10,351.573657
1.261905,12,351.692537
1.142857,7,351.776797
1.190476,9,351.878178
1.190476,9,352.124741
-0.904762,5,352.173965
1.119048,6,352.229211
1.071429,4,352.275896
-9.690476,14,352.39984
1.166667,8,352.465555
1.119048,6,352.527071
1.190476,9,352.610535
-0.928571,4,352.649542
1.142857,7,352.714021
1.166667,8,352.782803
1.214286,10,352.865644
-9.738095,12,352.975392
-0.857143,7,353.04158
1.095238,5,353.090425
-0.809524,9,353.171278
1.190476,9,353.367076
1.166667,8,353.437627
1.214286,10,353.527048
1.119048,6,353.583465
-0.833333,8,353.665387
1.166667,8,353.733283
1.166667,8,353.801687
1.214286,10,353.894013
1.095238,5,353.933874
1.190476,9,354.018298
-0.738095,12,354.120824
1.119048,6,354.177065
1.142857,7,354.243659
-0.833333,8,354.320017
1.190476,9,354.405441
1.238095,11,354.635734
1.095238,5,354.678497
1.166667,8,354.754551
-9.714286,13,354.879515
1.190476,9,354.965915
1.261905,12,355.08204
1.142857,7,355.152234
1.190476,9,355.238915
1.261905,12,355.35819
1.214286,10,355.448965
1.142857,7,355.510925
1.190476,9,355.618282
1.095238,5,355.670503
1.119048,6,355.733346
1.166667,8,355.814984
-0.904762,5,355.867812
1.214286,10,356.123135
1.333333,15,356.265618
1.261905,12,356.369257
1.166667,8,356.475883
1.190476,9,356.7564
1.214286,10,356.909247
1.142857,7,356.992779
1.166667,8,357.060674
1.142857,7,357.123087
1.142857,7,357.202003
1.214286,10,357.288446
1.261905,12,357.406882
1.095238,5,357.45844
1.261905,12,357.739641
1.119048,6,357.811657
1.214286,10,357.905185
1.190476,9,357.994685
1.214286,10,358.086759
1.166667,8,358.17547
1.190476,9,358.275537
-0.809524,9,358.54691
-0.809524,9,358.871293
-9.785714,10,358.9923
1.142857,7,359.081596
-0.785714,10,359.184682
-0.785714,10,359.28621
1.142857,7,359.353285
1.142857,7,359.427534
1.119048,6,359.646856
1.261905,12,359.785574
1.190476,9,359.881857
-9.714286,13,360.048668
1.261905,12,360.215045
1.190476,9,360.311463
1.166667,8,360.403488
1.166667,8,360.504508
1.238095,11,360.640521
1.095238,5,360.702326
1.119048,6,360.770537
1.119048,6,360.840903
1.095238,5,360.903648
1.142857,7,360.969425
1.142857,7,361.048905
-0.857143,7,361.129163
1.119048,6,361.350001
1.261905,12,361.466578
1.166667,8,361.549674
1.142857,7,361.631035
1.166667,8,361.716781
1.142857,7,361.788682
1.190476,9,361.881859
1.214286,10,361.974722
1.071429,4,362.013369
1.190476,9,362.120399
1.095238,5,362.191024
1.095238,5,362.272972
1.238095,11,362.395214
1.190476,9,362.488566
1.214286,10,362.575682
1.166667,8,362.692329
1.166667,8,362.905137
1.190476,9,362.979414
1.166667,8,363.060681
1.095238,5,363.123038
-0.857143,7,363.206171
1.071429,4,363.258259
-0.809524,9,363.353017
1.166667,8,363.451614
-0.809524,9,363.553552
-0.857143,7,363.644346
1.142857,7,363.74201
1.309524,14,363.878036
1.095238,5,363.929503
1.166667,8,364.013705
1.214286,10,364.129825
1.142857,7,364.209712
-0.928571,4,364.259023
1.142857,7,364.632504
1.214286,10,364.820697
1.261905,12,364.961496
1.071429,4,365.000457
1.261905,12,365.21383
1.190476,9,365.32954
-0.785714,10,365.500563
-0.785714,10,365.61409
-0.928571,4,365.659503
1.119048,6,365.720336
1.142857,7,365.787289
1.190476,9,365.884141
1.095238,5,366.000641
1.142857,7,366.235186
-0.880952,6,366.370399
-0.833333,8,366.455933
1.166667,8,366.663006
1.142857,7,366.720631
1.166667,8,366.790868
-0.809524,9,366.881818
1.095238,5,366.931539
1.238095,11,367.019528
1.071429,4,367.053549
1.214286,10,367.139922
-0.833333,8,367.215266
-0.880952,6,367.267024
1.119048,6,367.351779
1.166667,8,367.435315
1.142857,7,367.49732
1.119048,6,367.549808
1.142857,7,367.626478
-9.738095,12,367.729921
1.261905,12,368.068071
1.142857,7,368.141999
-0.928571,4,368.189836
1.142857,7,368.260344
1.142857,7,368.338844
1.142857,7,368.434955
-0.857143,7,368.51014
1.166667,8,368.608706
1.238095,11,368.735137
1.166667,8,368.820884
1.166667,8,368.895672
1.214286,10,368.991434
1.214286,10,369.074382
1.166667,8,369.141636
-0.857143,7,369.212944
1.214286,10,369.295375
1.142857,7,369.496414
-0.833333,8,369.571059
1.142857,7,369.639442
1.190476,9,369.74305
1.095238,5,369.82001
1.166667,8,369.907566
1.190476,9,370.280911
1.214286,10,370.438029
-0.857143,7,370.766758
1.166667,8,370.867626
1.166667,8,370.960326
1.214286,10,371.057672
1.166667,8,371.142044
1.261905,12,371.363365
1.190476,9,371.504088
1.238095,11,371.80206
1.142857,7,371.933141
1.119048,6,372.041807
1.261905,12,372.166316
1.214286,10,372.351172
1.166667,8,372.453457
1.166667,8,372.53063
1.095238,5,372.575489
1.071429,4,372.637115
1.190476,9,372.751084
1.119048,6,372.817947
1.190476,9,372.93706
1.119048,6,372.994926
1.238095,11,373.101952
-0.809524,9,373.236984
1.285714,13,373.359128
1.214286,10,373.720492
-0.785714,10,373.839346
1.261905,12,373.953195
1.214286,10,374.053219
1.285714,13,374.185916
1.166667,8,374.263654
1.119048,6,374.324738
-9.666667,15,374.483796
1.071429,4,374.521548
1.190476,9,374.617941
1.142857,7,374.6895
-0.809524,9,374.803463
1.214286,10,374.937312
1.309524,14,375.241639
-0.761905,11,375.371047
1.214286,10,375.462381
1.142857,7,375.540061
1.166667,8,375.630905
1.166667,8,375.722442
1.214286,10,375.825748
1.071429,4,375.883637
-0.904762,5,375.943222
-0.904762,5,375.992349
1.119048,6,376.060023
1.095238,5,376.111394
1.166667,8,376.202948
1.166667,8,376.297354
1.142857,7,376.374415
-0.809524,9,376.471466
-0.880952,6,376.528431
1.214286,10,376.78877
1.166667,8,376.866883
1.238095,11,376.989951
1.119048,6,377.047967
1.071429,4,377.091669
1.142857,7,377.1766
-0.809524,9,377.274635
1.142857,7,377.334914
1.119048,6,377.391731
1.166667,8,377.465785
1.142857,7,377.544022
1.095238,5,377.596391
1.071429,4,377.633494
1.095238,5,377.68436
1.166667,8,377.763267
-0.833333,8,377.852977
1.095238,5,377.901468
-0.904762,5,377.967474
1.238095,11,378.248336
1.095238,5,378.303732
1.190476,9,378.402291
1.166667,8,378.482159
1.190476,9,378.563813
1.166667,8,378.66109
1.142857,7,378.737171
1.119048,6,378.795026
1.142857,7,378.859023
-0.833333,8,378.935808
1.238095,11,379.033109
1.095238,5,379.073711
1.166667,8,379.146595
1.095238,5,379.196646
1.166667,8,379.263036
-0.761905,11,379.367745
1.214286,10,379.453469
1.190476,9,379.670959
1.214286,10,379.77147
1.142857,7,379.837886
-0.738095,12,379.937791
1.214286,10,380.021808
1.214286,10,380.102502
-0.809524,9,380.193285
1.166667,8,380.268549
-0.857143,7,380.337242
1.190476,9,380.422217
1.142857,7,380.481982
1.119048,6,380.531637
1.190476,9,380.625775
-9.738095,12,380.737565
1.119048,6,380.930216
1.095238,5,380.987968
1.285714,13,381.191359
-0.857143,7,381.322882
1.166667,8,381.41803
1.190476,9,381.512144
1.261905,12,381.644054
-0.904762,5,381.697143
-0.904762,5,381.766883
1.142857,7,381.853268
1.190476,9,381.944279
1.238095,11,382.044614
1.166667,8,382.117036
1.309524,14,382.257574
1.166667,8,382.335423
-9.833333,8,382.580405
1.214286,10,382.689971
1.119048,6,382.75071
1.214286,10,382.850938
1.095238,5,382.907622
1.142857,7,382.984652
1.095238,5,383.03751
1.095238,5,383.082637
1.166667,8,383.159357
1.166667,8,383.245557
1.142857,7,383.30791
1.119048,6,383.361213
1.095238,5,383.412799
1.095238,5,383.46167
1.261905,12,383.561003
1.166667,8,383.651178
1.095238,5,383.713136
-0.809524,9,383.800025
1.142857,7,384.031928
1.142857,7,384.096507
-9.880952,6,384.149352
1.119048,6,384.219458
1.190476,9,384.314535
-9.785714,10,384.410422
1.142857,7,384.483742
1.190476,9,384.568334
1.190476,9,384.682933
1.214286,10,384.772565
1.142857,7,384.847139
1.095238,5,384.901826
1.214286,10,385.00225
1.095238,5,385.054157
-0.857143,7,385.181026
1.095238,5,385.24263
1.190476,9,385.330046
1.071429,4,385.368357
1.166667,8,385.581758
1.119048,6,385.639163
1.166667,8,385.724789
-9.619048,17,385.896873
1.119048,6,385.968095
-0.833333,8,386.069556
1.238095,11,386.186496
1.166667,8,386.265924
1.142857,7,386.33703
1.071429,4,386.38399
1.095238,5,386.434494
-0.880952,6,386.503367
1.190476,9,386.598061
1.238095,11,386.731708
1.166667,8,386.804137
-0.761905,11,387.067848
1.095238,5,387.121964
1.095238,5,387.169011
1.142857,7,387.237208
1.238095,11,387.33406
1.142857,7,387.406804
1.214286,10,387.510356
1.119048,6,387.56426
1.095238,5,387.628777
1.142857,7,387.73408
1.142857,7,387.797276
1.142857,7,387.869735
1.214286,10,387.970819
1.142857,7,388.040677
1.119048,6,388.099895
-0.809524,9,388.190156
1.095238,5,388.238594
1.095238,5,388.298289
1.119048,6,388.518291
1.095238,5,388.565749
1.238095,11,388.696464
1.095238,5,388.747679
1.166667,8,388.821438
-0.809524,9,388.911233
-0.738095,12,389.01864
1.119048,6,389.070443
1.190476,9,389.147159
1.238095,11,389.245719
1.095238,5,389.292457
-0.880952,6,389.350817
1.095238,5,389.39643
1.261905,12,389.496629
1.214286,10,389.581744
1.190476,9,389.65865
-0.833333,8,389.865874
1.214286,10,389.963776
1.214286,10,390.049369
1.190476,9,390.136775
-0.928571,4,390.183389
-0.833333,8,390.276217
1.095238,5,390.333631
1.142857,7,390.411228
1.238095,11,390.525537
1.119048,6,390.579918
-0.880952,6,390.641697
1.095238,5,390.685072
1.095238,5,390.739919
1.214286,10,390.836577
1.095238,5,390.885339
-0.857143,7,390.962737
1.214286,10,391.067854
1.142857,7,391.287659
1.095238,5,391.342204
1.119048,6,391.416155
1.095238,5,391.467986
1.190476,9,391.540178
1.142857,7,391.617888
1.142857,7,391.703069
1.214286,10,391.795863
1.142857,7,391.856704
1.071429,4,391.904448
-0.928571,4,391.956034
1.142857,7,392.036344
1.166667,8,392.120733
1.166667,8,392.207356
1.142857,7,392.273216
1.119048,6,392.334167
-0.857143,7,392.414946
1.238095,11,392.525302
-0.785714,10,392.801854
1.119048,6,392.871729
1.190476,9,392.969542
1.190476,9,393.059519
1.071429,4,393.103261
-0.809524,9,393.235975
1.095238,5,393.287733
1.095238,5,393.34327
1.166667,8,393.424975
-0.904762,5,393.476229
1.119048,6,393.533879
1.166667,8,393.605578
1.238095,11,393.699081
1.119048,6,393.753178
1.261905,12,393.869853
1.238095,11,393.974675
-9.785714,10,394.069297
-0.880952,6,394.294138
-0.833333,8,394.377913
1.166667,8,394.460128
1.238095,11,394.561932
1.142857,7,394.641754
1.238095,11,394.746838
1.190476,9,394.841424
1.214286,10,395.061561
1.166667,8,395.141827
1.119048,6,395.198495
1.142857,7,395.271151
1.261905,12,395.389239
1.190476,9,395.470311
1.166667,8,395.54496
-0.809524,9,395.632869
1.238095,11,395.893311
-0.833333,8,395.9684
1.214286,10,396.061825
1.190476,9,396.147705
1.119048,6,396.211928
1.238095,11,396.315915
-0.785714,10,396.420109
1.190476,9,396.525229
-9.642857,16,396.684047
1.119048,6,396.745264
1.190476,9,396.832232
1.166667,8,396.926671
1.190476,9,397.009773
1.166667,8,397.083132
1.214286,10,397.343949
-0.857143,7,397.407514
-0.857143,7,397.470169
-0.738095,12,397.574704
1.142857,7,397.646575
1.166667,8,397.723327
1.119048,6,397.780414
1.071429,4,397.813608
1.190476,9,397.896336
1.166667,8,397.969418
1.190476,9,398.046464
-0.880952,6,398.116625
1.214286,10,398.228439
1.166667,8,398.320447
1.166667,8,398.401584
1.214286,10,398.657503
-0.809524,9,398.761599
-0.857143,7,398.841427
1.142857,7,398.923571
1.214286,10,399.011245
1.166667,8,399.087567
1.166667,8,399.172859
-0.809524,9,399.272758
1.166667,8,399.354337
1.238095,11,399.450644
1.214286,10,399.54363
-0.809524,9,399.630344
1.166667,8,399.720614
1.190476,9,399.798981
1.095238,5,399.841536
-0.738095,12,400.09104
1.095238,5,400.23837
1.190476,9,400.463859
1.261905,12,400.796767
1.119048,6,400.928235
1.214286,10,401.150184
1.119048,6,401.27802
1.119048,6,401.580106
1.071429,4,401.644102
1.190476,9,401.731266
1.214286,10,401.836961
1.214286,10,402.033014
1.142857,7,402.169067
1.214286,10,402.38896
1.095238,5,402.465156
1.095238,5,402.563907
1.166667,8,402.738271
-0.880952,6,403.385459
1.190476,9,403.564545
1.190476,9,403.719683
1.190476,9,403.938274
1.119048,6,404.044214
1.119048,6,404.171754
1.190476,9,404.381347
1.119048,6,404.440021
1.190476,9,404.868613
-0.857143,7,405.07606
1.214286,10,405.559712
-0.761905,11,405.688713
1.071429,4,405.726635
1.119048,6,405.788303
1.142857,7,405.858224
1.095238,5,405.91296
1.190476,9,406.013295
-0.809524,9,406.408886
1.214286,10,406.524821
1.071429,4,406.576878
1.190476,9,406.757294
1.095238,5,406.862873
1.190476,9,407.046857
1.214286,10,407.242305
-0.928571,4,407.281613
1.214286,10,407.37782
1.261905,12,407.491543
1.190476,9,407.597683
-0.809524,9,407.698964
1.166667,8,407.797692
1.142857,7,407.882724
1.166667,8,407.962021
1.119048,6,408.024171
-0.738095,12,408.294772
1.142857,7,408.380197
1.190476,9,408.476969
1.190476,9,408.562747
1.071429,4,408.612197
1.166667,8,408.685543
1.190476,9,408.763802
1.261905,12,408.893413
1.166667,8,408.968134
1.095238,5,409.02819
1.238095,11,409.127172
1.190476,9,409.202993
1.238095,11,409.315024
1.166667,8,409.389045
1.190476,9,409.623238
1.095238,5,409.677731
1.095238,5,409.728864
1.119048,6,409.786813
1.119048,6,409.84044
1.119048,6,409.897005
1.095238,5,409.939227
-0.809524,9,410.024796
1.095238,5,410.068414
1.166667,8,410.135298
-0.785714,10,410.222181
1.214286,10,410.313008
1.238095,11,410.413012
1.119048,6,410.484441
1.142857,7,410.556341
1.119048,6,410.621315
1.119048,6,410.692296
1.095238,5,410.753333
1.190476,9,410.838843
1.190476,9,411.096349
1.142857,7,411.157475
1.095238,5,411.21552
1.071429,4,411.257771
1.119048,6,411.323252
1.071429,4,411.367047
1.119048,6,411.42706
1.166667,8,411.500843
1.119048,6,411.556032
1.166667,8,411.636778
1.190476,9,411.718626
-0.809524,9,411.802418
1.166667,8,411.876558
1.119048,6,411.943057
-9.666667,15,412.092962
1.095238,5,412.142398
1.142857,7,412.225046
1.238095,11,412.474919
1.214286,10,412.570546
1.095238,5,412.624336
1.190476,9,412.709862
1.142857,7,412.776206
1.166667,8,412.854967
1.071429,4,412.902112
1.166667,8,412.979285
1.214286,10,413.076331
1.071429,4,413.114517
1.166667,8,413.19631
1.119048,6,413.25645
-0.928571,4,413.304682
-0.761905,11,413.409027
-0.857143,7,413.473473
-0.785714,10,413.563016
1.166667,8,413.778013
1.166667,8,413.990854
1.166667,8,414.060027
1.142857,7,414.130856
-0.880952,6,414.207807
1.190476,9,414.295643
1.119048,6,414.35198
-9.785714,10,414.442725
1.261905,12,414.558797
1.095238,5,414.613755
1.238095,11,414.911441
1.166667,8,414.997171
1.166667,8,415.077445
1.285714,13,415.212653
1.142857,7,415.272398
1.071429,4,415.313714
1.166667,8,415.388018
1.238095,11,415.66773
1.142857,7,415.736775
1.142857,7,415.826765
1.166667,8,415.909157
1.095238,5,415.953299
1.119048,6,416.012728
1.166667,8,416.085129
-0.833333,8,416.168102
1.142857,7,416.249062
1.095238,5,416.304579
1.166667,8,416.383998
1.190476,9,416.464179
1.095238,5,416.515631
1.095238,5,416.561253
1.119048,6,416.635511
1.166667,8,416.714562
-9.785714,10,416.820419
-0.880952,6,416.888978
1.166667,8,417.122422
1.142857,7,417.201953
1.214286,10,417.289499
1.142857,7,417.371006
1.119048,6,417.43721
1.166667,8,417.518972
1.261905,12,417.639901
1.166667,8,417.720595
1.142857,7,417.789606
-9.642857,16,417.93922
1.071429,4,417.974833
1.071429,4,418.018042
1.095238,5,418.060875
1.166667,8,418.133139
1.190476,9,418.224062
1.190476,9,418.321911
1.119048,6,418.527747
1.071429,4,418.572337
1.119048,6,418.642479
-0.809524,9,418.745071
-0.857143,7,418.827581
1.095238,5,418.877431
1.166667,8,418.951421
1.166667,8,419.024548
1.166667,8,419.094799
1.142857,7,419.163027
1.119048,6,419.23746
1.214286,10,419.329612
1.119048,6,419.390012
1.142857,7,419.448971
1.119048,6,419.505003
1.238095,11,419.608587
1.142857,7,419.67478
1.119048,6,419.740655
1.142857,7,419.953516
1.166667,8,420.026278
1.190476,9,420.097028
1.095238,5,420.141253
1.142857,7,420.217187
1.095238,5,420.263793
1.166667,8,420.337467
1.095238,5,420.383061
1.190476,9,420.460347
1.166667,8,420.52813
1.190476,9,420.615512
1.166667,8,420.699218
1.119048,6,420.758269
-0.857143,7,420.840478
-0.904762,5,420.892445
1.142857,7,420.961783
1.261905,12,421.116033
1.190476,9,421.360869
1.119048,6,421.422543
1.309524,14,421.554257
1.166667,8,421.634057
1.142857,7,421.701832
1.119048,6,421.769117
-0.857143,7,421.854871
1.166667,8,421.932366
1.190476,9,422.016983
1.119048,6,422.07046
1.119048,6,422.130341
1.238095,11,422.237227
1.238095,11,422.338775
1.095238,5,422.396717
1.214286,10,422.482225
-0.833333,8,422.549421
1.142857,7,422.748566
1.119048,6,422.829389
1.238095,11,422.935132
-0.880952,6,423.001345
-9.690476,14,423.121838
-9.642857,16,423.289127
1.119048,6,423.366273
1.214286,10,423.472951
1.095238,5,423.524754
1.190476,9,423.625067
1.071429,4,423.69872
1.142857,7,423.77409
1.214286,10,423.893627
-0.928571,4,423.941473
1.071429,4,423.985112
1.166667,8,424.057337
-0.833333,8,424.29222
1.119048,6,424.355701
1.166667,8,424.424037
1.166667,8,424.49295
1.119048,6,424.542117
1.309524,14,424.662159
1.309524,14,424.78778
-0.833333,8,424.879054
1.119048,6,424.93884
-0.904762,5,424.982318
-0.714286,13,425.112818
1.119048,6,425.178273
1.071429,4,425.220268
1.119048,6,425.276381
1.095238,5,425.329627
1.142857,7,425.396308
-9.738095,12,425.672374
1.166667,8,425.747366
1.119048,6,425.80977
1.261905,12,425.922617
1.166667,8,425.991801
1.166667,8,426.063451
1.142857,7,426.147952
1.142857,7,426.217613
1.285714,13,426.332821
1.142857,7,426.397552
1.166667,8,426.476781
1.142857,7,426.54736
1.142857,7,426.610259
1.119048,6,426.661591
1.071429,4,426.697425
1.142857,7,426.755568
1.095238,5,426.799143
1.238095,11,427.020668
1.190476,9,427.099201
1.142857,7,427.160339
1.190476,9,427.235001
1.214286,10,427.32849
1.142857,7,427.385337
1.119048,6,427.437943
1.166667,8,427.503898
1.166667,8,427.570896
1.309524,14,427.686861
1.166667,8,427.754816
1.238095,11,427.877953
-0.809524,9,427.961813
1.071429,4,427.997709
1.142857,7,428.053431
1.190476,9,428.269019
-0.738095,12,428.378707
1.238095,11,428.46685
1.238095,11,428.562049
1.166667,8,428.628234
1.095238,5,428.670906
1.119048,6,428.722624
1.142857,7,428.785561
1.309524,14,428.89941
1.238095,11,428.98916
1.142857,7,429.047174
1.166667,8,429.111482
1.238095,11,429.207129
-0.857143,7,429.273357
-0.833333,8,429.516199
1.214286,10,429.62117
-9.714286,13,429.751705
1.214286,10,429.852811
1.095238,5,429.903333
1.142857,7,429.96781
-0.880952,6,430.025395
1.119048,6,430.085139
-0.857143,7,430.152566
1.119048,6,430.215695
1.190476,9,430.312491
1.190476,9,430.408304
1.214286,10,430.509947
1.214286,10,430.620625
1.190476,9,430.720732
1.166667,8,430.794856
1.142857,7,431.009551
1.166667,8,431.10991
1.166667,8,431.193708
1.190476,9,431.271964
1.142857,7,431.345624
1.190476,9,431.439514
1.166667,8,431.521689
1.142857,7,431.582713
1.071429,4,431.627174
1.190476,9,431.712451
1.166667,8,431.797856
1.238095,11,431.923928
1.166667,8,431.992391
-0.880952,6,432.045998
1.071429,4,432.091699
1.119048,6,432.148137
-0.880952,6,432.214265
-0.714286,13,432.501058
-0.857143,7,432.575483
1.214286,10,432.674034
1.214286,10,432.76544
1.190476,9,432.845832
1.238095,11,432.94475
1.166667,8,433.014079
-0.857143,7,433.092754
1.119048,6,433.148727
-0.857143,7,433.229729
1.190476,9,433.323324
1.142857,7,433.381697
1.166667,8,433.451767
1.190476,9,433.525365
1.095238,5,433.568581
1.119048,6,433.63578
1.119048,6,433.848788
1.166667,8,433.934095
1.214286,10,434.017857
1.166667,8,434.096802
1.119048,6,434.155636
1.190476,9,434.247953
1.190476,9,434.350766
1.190476,9,434.446703
1.095238,5,434.492053
1.190476,9,434.569087
-0.928571,4,434.633442
1.095238,5,434.685224
