#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
1.190476,9,32.565937
-0.809524,9,32.681493
-0.880952,6,32.745935
-0.619048,17,33.013737
1.214286,10,33.137281
1.071429,4,33.2066
1.214286,10,33.323898
1.214286,10,33.466759
1.238095,11,33.815283
1.119048,6,33.883351
1.214286,10,33.996986
1.309524,14,34.14184
1.190476,9,34.2391
1.095238,5,34.29886
1.119048,6,34.365904
-9.738095,12,34.489035
-9.785714,10,34.599806
-9.642857,16,34.768518
-0.809524,9,34.873554
-9.666667,15,35.034676
1.333333,15,35.178767
-0.785714,10,35.417952
1.285714,13,35.620229
-0.738095,12,35.757635
1.119048,6,35.833152
1.166667,8,35.927731
-9.642857,16,36.112475
1.261905,12,36.32645
-9.738095,12,36.455932
1.285714,13,36.595332
-0.761905,11,36.753893
1.333333,15,36.930335
-0.809524,9,37.209706
1.214286,10,37.309183
1.285714,13,37.429884
1.238095,11,37.557205
-0.666667,15,37.733753
1.238095,11,37.843061
1.214286,10,38.045286
-0.857143,7,38.118905
-0.857143,7,38.18706
1.238095,11,38.279535
-9.809524,9,38.359915
1.285714,13,38.484963
1.214286,10,38.710919
-9.714286,13,38.823408
-0.642857,16,38.965258
-9.690476,14,39.081171
-0.857143,7,39.147933
-0.714286,13,39.269131
1.190476,9,39.36377
-0.928571,4,39.404919
1.285714,13,39.519209
1.166667,8,39.59534
-0.738095,12,39.715501
1.214286,10,39.813827
1.119048,6,39.999836
-0.714286,13,40.110187
-0.761905,11,40.210706
-0.690476,14,40.337162
1.285714,13,40.449627
-9.738095,12,40.553532
1.071429,4,40.601785
-0.904762,5,40.654767
1.285714,13,40.774609
1.261905,12,40.874278
-0.809524,9,40.957306
-9.714286,13,41.083665
-0.833333,8,41.300898
-9.809524,9,41.395261
1.261905,12,41.503294
-0.833333,8,41.609864
1.095238,5,41.669117
-0.880952,6,41.740015
1.142857,7,41.820654
-0.738095,12,41.934499
-9.666667,15,42.073723
-0.785714,10,42.181271
1.309524,14,42.33108
-0.690476,14,42.473118
-0.714286,13,42.760769
1.238095,11,42.892493
1.357143,16,43.047062
